Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z,Frame,Filename,Pixels,Shape,Adjusted_Pixels,Adjusted_Length
10485-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10485-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10485-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10483-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10484-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10483-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10488-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10488-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10483-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10483-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10483-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10484-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10484-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10143-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10143-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10143-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10143-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10147-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10147-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12034-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12034-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10148-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10148-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10148-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10148-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
10141-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10141-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12033-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12033-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12042-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12042-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12033-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12034-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12033-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
10142-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10142-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10141-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10141-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10141-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10141-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9675-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9675-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
9674-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
9674-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
9674-6102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",72.0,8.0
9674-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
9674-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-9674-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10141-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10141-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12034-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
12034-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
12034-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12034-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10483-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10483-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
12033-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-12033-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10481-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10481-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10480-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10480-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",110.0,10.0
10480-12705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10480-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10480-12703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10480-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
10147-12702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10147-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10147-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10147-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",147.0,12.0
10488-12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10488-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10149-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10149-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10148-9102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10148-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",103.0,10.0
10480-12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10480-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",139.0,11.0
10148-9101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,manga-10148-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",110.0,10.0
