Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z,Frame,Filename,Pixels,Shape,Adjusted_Pixels,Adjusted_Length
8946-6103,0.2249398341340645,70.60214406345692,0.0157452,4720.2922097016,-46.56052616143529,8.748954837008633,52.347262957937055,109,manga-8946-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",8469.0,92.0
12071-9101,0.224984009199381,70.61633555280953,0.0157483279999999,4721.229960510223,68.89519070823434,-15.495587645964251,0.0794209622954583,109,manga-12071-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",12039.0,109.0
8145-3702,0.2252138066706181,70.6901613875402,0.0157646,4726.1081833868,-27.61793020235641,55.68589528445653,33.666450877732736,110,manga-8145-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",6637.0,81.0
8145-12705,0.2253366681246477,70.72963389020292,0.0157732999999999,4728.716377771399,-28.254036217426275,55.428573955560935,33.64615486083688,110,manga-8145-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",19506.0,139.0
8458-12702,0.2253804459670568,70.74369892705472,0.0157764,4729.6457343912,-42.78227796256775,27.1453749904974,49.370803587146845,110,manga-8458-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",19506.0,139.0
8144-1902,0.2254807106020041,70.77591264030177,0.0157835,4731.774260843,-25.71459458646608,56.53543800815582,33.937202073053804,110,manga-8144-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",4349.0,65.0
8144-9101,0.2255371972628897,70.79406135935764,0.0157875,4732.973430675,-25.79448145911435,56.31346694939967,34.28173405979884,111,manga-8144-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",17089.0,130.0
11954-6101,0.2258040922769839,70.87981550165182,0.0158064,4738.6395081312,-41.5476020271478,-12.49777330848708,56.04953767580616,111,manga-11954-6101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",11281.0,106.0
11752-12701,0.2258289456180087,70.88780119395132,0.01580816,4739.16714285728,-57.01519705607656,42.12179783914273,0.3190761168051448,111,manga-11752-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",21628.0,147.0
11954-6104,0.2260562659997414,70.96084401414431,0.015824258,4743.993201846164,-41.25444555457377,-15.057901532422369,55.73842217558999,112,manga-11954-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",16528.0,128.0
12066-12702,0.226197798411931,71.00632309571394,0.015834281,4746.998021652697,59.70888654909881,-38.42607633809072,-0.4283035127002894,112,manga-12066-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",33471.0,182.0
9495-3701,0.2265016561292993,71.10396722068278,0.0158558,4753.449255556399,-36.58679297494562,55.15374855256213,25.98547199742874,113,manga-9495-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",2935.0,54.0
8323-6104,0.2265298965219064,71.11304253220128,0.0158578,4754.048840472399,-55.70904066592248,-16.41385986086912,41.0384309000358,113,manga-8323-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",4421.0,66.0
8459-12704,0.2265383686236201,71.11576513086388,0.0158584,4754.2287159472,-43.16549448066097,27.388545094787684,49.43743251807282,113,manga-8459-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",7861.0,88.0
8977-12704,0.2267148690559965,71.17248648290266,0.0158709,4757.9761216722,-26.75837574811089,52.55977698064797,39.83694269426835,113,manga-8977-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",7861.0,88.0
9492-9102,0.2267784084236946,71.1929064249784,0.0158754,4759.3251877332,-32.08886639235413,59.811178957580125,21.47923300757504,113,manga-9492-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",6211.0,78.0
8459-6102,0.2268052360314748,71.20152821888661,0.0158772999999999,4759.894793403399,-43.85763309891245,27.41521744696023,48.93435901288554,113,manga-8459-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",4100.0,64.0
10218-12705,0.2268433593461848,71.21378028326387,0.01588,4760.704233039999,-32.746477285931945,60.03024772087881,19.885675401274387,113,manga-10218-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",8304.0,91.0
11830-12705,0.2268507439560799,71.21615355913802,0.015880523,4760.861024495534,-43.33129726677702,-14.013644370468343,54.75177601133109,113,manga-11830-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",8304.0,91.0
8978-12703,0.2269520805670276,71.24872162303433,0.0158877,4763.0126349666,-17.810633362768264,-48.70236848522416,48.85940007882956,114,manga-8978-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14720.0,121.0
8949-12703,0.2270255019992866,71.27231859586523,0.0158929,4764.5715557482,-60.21235908498618,-17.113799456247534,34.078337395221325,114,manga-8949-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",15549.0,124.0
10219-3703,0.2272669416278344,71.34991760620677,0.01591,4769.69800678,-38.70058490126424,53.95723175555745,26.10924380348071,114,manga-10219-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",5009.0,70.0
8458-12705,0.2272683535377717,71.35037140732969,0.0159101,4769.7279860258,-43.07415177554861,27.77873368117848,49.63703157775506,114,manga-8458-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14720.0,121.0
12485-12702,0.2274464784432045,71.40762349243435,0.015922716,4773.510167675928,-56.65265661506021,-18.79730884897586,39.19421349293223,115,manga-12485-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",13229.0,115.0
9496-6101,0.2274688426575055,71.41481184452036,0.0159243,4773.9850389294,-34.8850147036814,56.81816186322571,25.589208319064127,115,manga-9496-6101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",7044.0,83.0
8458-12704,0.2274956683514334,71.42343425863626,0.0159262,4774.554644599601,-43.01387540164468,27.55573235904805,49.917883552751256,115,manga-8458-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",12524.0,111.0
8329-12704,0.2277314488832168,71.49922177731749,0.0159429,4779.5611786482,-41.58207273454622,-27.819593177879568,51.07974331648716,115,manga-8329-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",12524.0,111.0
9488-3701,0.2278500429074514,71.53734314908232,0.0159513,4782.0794352954,-39.90914803896971,53.70420508636828,25.312244540428445,115,manga-9488-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",4677.0,68.0
8985-3701,0.22803499021133,71.5967952760044,0.0159644,4786.0067164952,-55.79733076693304,-25.574013355060497,36.86093886480296,116,manga-8985-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",4927.0,70.0
9195-12703,0.2281380509157375,71.6299255842032,0.0159717,4788.195201438599,60.02383116756656,34.911045373328776,17.58422139610774,116,manga-9195-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14480.0,120.0
8096-12704,0.2282707576034355,71.67258705291451,0.0159810999999999,4791.0132505438,61.93794444238392,31.77501975399175,17.058689654929708,116,manga-8096-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",15296.0,123.0
9488-12704,0.2282862869905,71.67757939099141,0.0159822,4791.343022247599,-39.84335906789833,53.75234607521739,25.707341693540823,116,manga-9488-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",15296.0,123.0
11018-6104,0.2285894156349729,71.7750314477543,0.016003672,4797.780165905776,-42.85653095685375,-12.900181609442852,56.112014828499504,117,manga-11018-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",9834.0,99.0
8147-3702,0.2286378091763158,71.79058993169572,0.0160071,4798.807854451799,-28.554146340163925,57.02260455551857,32.96925991329419,117,manga-8147-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",6415.0,80.0
7992-12703,0.2286716901580764,71.80148273259306,0.0160095,4799.527356351,-8.160231332928761,-29.57351580205267,64.9174145379935,117,manga-7992-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",18853.0,137.0
9085-9102,0.228814271322933,71.84732369103263,0.0160195999999999,4802.555260176799,-11.436863777336203,-62.88527914288361,32.81276787508608,117,manga-9085-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",14896.0,122.0
10497-3703,0.2289737903341158,71.8986119069908,0.0160309,4805.9429149522,-35.91960985162,58.08346554703989,22.483395035121163,118,manga-10497-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",5009.0,70.0
9494-12701,0.2292292976070666,71.98076560397892,0.016049,4811.369158442,-40.28825315509077,53.638186849467495,26.096593382046755,118,manga-9494-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14720.0,121.0
8250-12705,0.2292335324774037,71.98212728588598,0.0160493,4811.459096179399,-40.39226005323241,33.41681959661458,49.32755968463119,118,manga-8250-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",15549.0,124.0
9495-12704,0.2292829391610583,71.99801361918558,0.0160528,4812.508369782399,-35.64791150268856,56.1242853047639,27.62254459014194,118,manga-9495-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14720.0,121.0
9195-1901,0.2295553772000108,72.08561686840797,0.0160721,4818.2943642218,62.22941305329923,32.48478595779205,16.38825773586718,119,manga-9195-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1024,"(35, 32, 32)",8247.0,90.0
8459-12705,0.2297656997656454,72.15325009291296,0.016087,4822.761271846,-44.93983208825365,27.95400175564663,49.04158211859927,119,manga-8459-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",41752.0,204.0
8145-3703,0.229805222958978,72.1659598575307,0.0160898,4823.6006907284,-29.12004417934605,56.35801843928999,34.405269171281226,120,manga-8145-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",50000.0,223.0
9494-6104,0.2303359473440037,72.33663890847974,0.0161274,4834.872887149199,-41.17016654137138,52.60605296277375,27.75265585866285,121,manga-9494-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",9900.0,99.0
12622-12705,0.2303566393593823,72.34329376683803,0.016128866,4835.312382892627,-57.05862409915622,-23.71887443598188,37.62021483772177,121,manga-12622-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",20049.0,141.0
12069-12702,0.2305911363647849,72.41871347090394,0.01614548,4840.29313478984,67.75365243367443,-25.53887423976916,-1.2955868334396965,121,manga-12069-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",20049.0,141.0
10497-12701,0.2308285351516133,72.49507019402945,0.0161623,4845.3356439334,-35.22615175714288,59.677850575804506,21.28867270338729,122,manga-10497-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",16075.0,126.0
11939-3703,0.231009784215921,72.55336950538056,0.016175142,4849.185578679036,-62.40023777802182,-15.969663295382398,33.39418521333826,122,manga-11939-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",5470.0,73.0
11983-3701,0.2310914736201294,72.57964586689619,0.01618093,4850.920777425939,-7.619102948912999,-31.10984284566171,65.1301154807525,122,manga-11983-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",6003.0,77.0
8458-3701,0.231107986425565,72.5849574598806,0.0161821,4851.2715346018,-42.24750434662458,28.203896434322893,51.84847781619632,122,manga-8458-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",5470.0,73.0
12622-12702,0.2311407720232539,72.5955034959316,0.016184423,4851.967952481734,-57.77006268435944,-22.10369419530741,38.00202215926584,122,manga-12622-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",16980.0,130.0
8139-6103,0.2312858148518767,72.6421598093926,0.0161947,4855.0489195726,-24.92934381279052,55.495789075127,39.69418841299103,123,manga-8139-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",11008.0,104.0
11944-12703,0.2313730060400127,72.6702075072098,0.016200878,4856.901037378123,-25.48549327593238,-51.62483849249429,44.34326039261454,123,manga-11944-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",20673.0,143.0
9889-6102,0.2314198896787235,72.68528926549483,0.0162042,4857.896947923599,-38.03427302442012,-53.89672653696562,30.523568266375275,123,manga-9889-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",11008.0,104.0
8980-3704,0.2315469062218014,72.72614930575979,0.0162132,4860.5950800456,-38.98703579434984,-37.92112833216304,48.28138211390983,123,manga-8980-3704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",7308.0,85.0
12485-6102,0.2319235569191065,72.84732066319125,0.016239889,4868.596240957162,-57.712071862889054,-19.71240357153821,39.84306758435335,124,manga-12485-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",8369.0,91.0
9489-9102,0.2319632265331453,72.86008322716451,0.0162427,4869.438957556599,-39.24092498464867,55.464545791211805,26.31398286829806,124,manga-9489-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",11033.0,105.0
11752-12705,0.2320641285892317,72.89254605191229,0.01624985,4871.5824736313,-59.09390281086848,42.67277359364952,0.5179906706810271,124,manga-11752-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",15717.0,125.0
12068-12701,0.2321378075936192,72.9162509398549,0.016255071,4873.147690054518,66.76948093978821,-29.279317010295227,-1.1565731994940798,124,manga-12068-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",14879.0,121.0
9877-6104,0.2321932534615144,72.93408988468387,0.016259,4874.325574621999,-62.234796527938826,-16.78092325207497,34.12641474343839,125,manga-9877-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",6214.0,78.0
12070-6104,0.2322244266286943,72.9441195122898,0.016261209,4874.987816161722,69.85400150842757,-21.00618579141174,0.0565966474971389,125,manga-12070-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",6701.0,81.0
8152-12702,0.2322581680468262,72.95497551983405,0.0162636,4875.7046199288,-46.80443938843738,37.32649106552128,41.69539508589932,125,manga-8152-12702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",11913.0,109.0
8439-12701,0.2323005034112663,72.96859666230483,0.0162666,4876.603997302799,-38.580626636702014,29.06182465869423,54.69334232512066,125,manga-8439-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",12585.0,112.0
8710-12703,0.2325573339842176,73.05123288057383,0.0162848,4882.060220038399,-22.636481804471345,40.42786112794723,56.477078195557205,125,manga-8710-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",12585.0,112.0
10217-12703,0.232771824622079,73.12024943793529,0.0163,4886.617065399999,-34.91194028855663,60.832213502383496,20.668069662030938,126,manga-10217-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",18848.0,137.0
11744-3702,0.232771824622079,73.12024943793529,0.0163,4886.617065399999,-34.91194028855663,60.832213502383496,20.668069662030938,126,manga-11744-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",7038.0,83.0
9184-1902,0.2329284562280322,73.1706506609993,0.0163111,4889.9447616838,-29.971230013205304,53.47818581888143,39.94687886644872,126,manga-9184-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",4203.0,64.0
10514-12701,0.2329848994283622,73.18881346540972,0.0163151,4891.1439315158,-58.779491918193614,43.492138977648864,3.163478064160893,126,manga-10514-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",19909.0,141.0
9512-3703,0.2332304235175519,73.26782290683526,0.0163325,4896.360320285,-56.34784303459261,46.79261119014076,1.8830817466596912,127,manga-9512-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",5749.0,75.0
8980-12704,0.233237478715361,73.27009332294121,0.016333,4896.510216514,-38.1487194396609,-38.94624845152773,48.95274774942083,127,manga-8980-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",16897.0,129.0
8152-12703,0.2333066193815768,73.29234348905199,0.0163379,4897.979199558199,-46.76220776779742,37.29331415164076,42.35885100407657,127,manga-8152-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",17848.0,133.0
8720-6103,0.2334575983022074,73.34093114333133,0.0163486,4901.1869788588,-23.884310349806423,40.37478306772493,56.376491486426765,127,manga-8720-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",9504.0,97.0
8439-1901,0.2337045213647197,73.42039857936184,0.0163660999999999,4906.4333468738,-37.19776747702639,29.9182107256478,55.78334598473966,128,manga-8439-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",6135.0,78.0
10497-3704,0.2337426175045215,73.43265945143622,0.0163688,4907.242786510399,-36.65658570201209,59.63149292229825,22.19764065479804,128,manga-10497-3704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",9363.0,96.0
8720-12704,0.2338569050236846,73.46944235948713,0.0163769,4909.6711054202,-25.13409302064288,39.67414503198374,56.49777468736971,128,manga-8720-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",29065.0,170.0
7992-1901,0.2339429725109306,73.49714335697642,0.016383,4911.499839414,-8.359869123583646,-31.43977087246768,65.90510964530164,128,manga-7992-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1024,"(35, 32, 32)",5435.0,73.0
11867-12705,0.2342849773839951,73.60722321672976,0.01640724,4918.766808595919,-54.01410568451199,49.971126786103255,1.8401588265808644,129,manga-11867-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",21364.0,146.0
8461-12703,0.2344184463022544,73.65018448948902,0.0164167,4921.6028452486,-45.08010861157949,28.912278477668576,50.55901142361972,129,manga-8461-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",21364.0,146.0
8459-3704,0.2344184463022544,73.65018448948902,0.0164167,4921.6028452486,-45.08010861157949,28.912278477668576,50.55901142361972,129,manga-8459-3704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",7270.0,85.0
11761-12701,0.2346803842817463,73.73450112899562,0.016435266,4927.168792023828,-42.1708501480258,-9.045170117119664,59.804522839723205,130,manga-11761-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",23469.0,153.0
8591-3703,0.2348811995359307,73.79914574607135,0.0164495,4931.436037871,-36.20355873429514,-23.03579556772492,60.04138881125509,130,manga-8591-3703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",7986.0,89.0
10514-9102,0.2349080046851,73.80777481927056,0.0164514,4932.0056435412,-60.45359587190719,42.09210614903317,4.604885434709466,130,manga-10514-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",18544.0,136.0
8611-6104,0.2352451789011692,73.91632153368619,0.0164753,4939.170683287399,-5.938790085686081,-35.379314014032985,64.62706477386921,131,manga-8611-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",13922.0,117.0
10497-6103,0.2353185374247185,73.93993889679156,0.0164805,4940.729604068999,-36.73838123187392,59.94029370558928,22.903429852545194,131,manga-10497-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",12910.0,113.0
8934-3701,0.2353580379376984,73.95265601317965,0.0164833,4941.569022951399,-63.53801684291052,-15.87183445814514,34.35113707007283,131,manga-8934-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",9243.0,96.0
9195-6102,0.2354201098464337,73.97264015888729,0.0164877,4942.8881097666,63.814882508489255,33.43775411022271,16.778821846846725,131,manga-9195-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",13922.0,117.0
9493-3702,0.2354765385086752,73.99080767614895,0.0164917,4944.087279598601,-42.34921001461407,52.87213173483279,29.76107722380797,132,manga-9493-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",4289.0,65.0
8985-6101,0.2354920563330725,73.995803762108,0.0164928,4944.417051302399,-57.11717297180135,-26.92741986869952,38.57358662769755,132,manga-8985-6101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2704,"(35, 52, 52)",5990.0,77.0
10513-3702,0.2355273240231964,74.00715853294342,0.0164953,4945.1665324474,-56.61580983183352,47.63168522639158,1.71235326373801,132,manga-10513-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",3908.0,62.0
9512-6103,0.2355273240231964,74.00715853294342,0.0164953,4945.1665324474,-56.61580983183352,47.63168522639158,1.71235326373801,132,manga-9512-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",6460.0,80.0
8148-12704,0.235582341362988,74.02487205870005,0.0164992,4946.3357230336,-32.007800492075745,57.15609438649759,34.47264517625774,132,manga-8148-12704-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",12132.0,110.0
8445-6104,0.2356303049423184,74.04031470240227,0.0165026,4947.3550173908,-53.70599242376184,-27.721451772014547,42.76862974963628,132,manga-8445-6104-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",6460.0,80.0
12624-1901,0.2357244539354292,74.0706279278537,0.016509274,4949.355832255492,-58.06400195280402,-26.30585614781131,37.72309015950272,132,manga-12624-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",2561.0,50.0
9878-3702,0.2358390848104916,74.10753652047968,0.0165174,4951.791945769201,-62.26895839355711,-23.15206744103075,32.840303940762304,132,manga-9878-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",3908.0,62.0
11863-3701,0.2359227365605242,74.13447107787552,0.01652333,4953.56971504514,-41.80797763048257,-8.305769321623726,60.65498334367428,132,manga-11863-3701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1936,"(35, 44, 44)",4289.0,65.0
9489-3702,0.2360238794471083,74.16703813256123,0.0165304999999999,4955.719226968999,-39.905623405727326,56.32784140164988,27.1194588623674,133,manga-9489-3702-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1764,"(35, 42, 42)",15051.0,122.0
11744-9101,0.236332944111986,74.26655827272612,0.01655241,4962.28767972378,-36.208539323902656,61.67137191798106,20.02761202589254,133,manga-11744-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",34948.0,186.0
8985-12701,0.2364371859681294,74.30012603442161,0.0165598,4964.503145988399,-58.06072221820787,-25.523894869744367,38.70390232146205,134,manga-8985-12701-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5184,"(35, 72, 72)",9739.0,98.0
12621-1901,0.2364385824346237,74.30057572680074,0.016559899,4964.532825441742,-58.27819048217373,-25.66775038138106,38.28047358401721,134,manga-12621-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1156,"(35, 34, 34)",2171.0,46.0
8461-9102,0.2365034826398457,74.32147513868536,0.0165645,4965.912170541,-45.68772249571513,30.57743740763386,50.0133382361844,134,manga-8461-9102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",7222.0,84.0
10843-6103,0.2366340293317951,74.36351513538901,0.016573755,4968.68674973979,-63.63173756891616,38.4659996814018,1.140712830738546,134,manga-10843-6103-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",5478.0,74.0
11866-1901,0.2366340293317951,74.36351513538901,0.016573755,4968.68674973979,-63.63173756891616,38.4659996814018,1.140712830738546,134,manga-11866-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1024,"(35, 32, 32)",1923.0,43.0
11956-9101,0.2366511674214309,74.36903420493613,0.01657497,4969.05099757626,-43.92848477713694,-7.896672506197306,59.48683919229257,134,manga-11956-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,4096,"(35, 64, 64)",7695.0,87.0
8937-6102,0.2367066015280526,74.38688607757462,0.0165789,4970.2291819362,-31.427783230541944,57.18100595111367,35.721643578520215,134,manga-8937-6102-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,2916,"(35, 54, 54)",5478.0,74.0
9503-12705,0.2367432753170683,74.39869653340016,0.0165815,4971.008642327,-34.93898752403319,57.75277681085857,31.289774165045955,134,manga-9503-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",10288.0,101.0
9489-9101,0.2371114160320348,74.51725783819928,0.0166076,4978.8332254808,-39.835206426077086,57.30854537077758,26.10955135964666,135,manga-9489-9101-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,3844,"(35, 62, 62)",16907.0,130.0
11014-12705,0.2371605850298188,74.53309361161506,0.016611086,4979.878301989388,-64.01807199556342,-16.528200158746056,34.40475404360652,135,manga-11014-12705-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",24085.0,155.0
12087-1901,0.2372919973290096,74.57541813477103,0.016620403,4982.671468320574,70.6449376712519,-14.89421134141336,18.680156314072523,135,manga-12087-1901-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1024,"(35, 32, 32)",4503.0,67.0
10219-1902,0.2372961863575821,74.57676733216293,0.0166207,4982.760506680599,-39.98029771318582,56.965689582781046,26.79888488050993,135,manga-10219-1902-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,1024,"(35, 32, 32)",4503.0,67.0
12620-12703,0.2375126029273943,74.6464721217076,0.016636044,4987.360522156151,-59.4911326521271,-22.91507050776908,38.83040663716848,136,manga-12620-12703-MAPS-HYB10-MILESHC-MASTARSSP.fits.gz,5476,"(35, 74, 74)",33131.0,182.0
