Plateifu,Age,Distance,Redshift,Velocity,X,Y,Z
10214-12702,1.1313065875270414,390.98451360773095,0.0831062,24914.6119730396,-170.94241872044955,272.9644285581506,221.6709275141843
10214-12703,0.4658463209001254,149.96155082503438,0.033019,9898.847170702,-63.192964489074676,103.66018352585948,88.03227996773144
10214-12704,1.142636027255278,395.3838424571139,0.08399089999999998,25179.83836063219,-173.60151115200654,272.12764010087454,228.33625576114827
10214-12705,1.1282114582585223,389.7844522846964,0.08286470000000001,24842.2120944326,-171.07756663708793,270.85980912489936,222.03456766286774
10214-1901,1.250228734189915,437.68557021083495,0.0924488,27715.4529911504,-189.99595241973057,301.77719811867485,253.77296769070048
10214-1902,0.30974482152558974,98.08723455002587,0.0217766,6528.4604408828,-42.96226069110825,68.78526149227571,55.17189084506978
10214-3701,0.2498311611609137,78.6192743484959,0.017509999999999998,5249.36593958,-35.09844843971005,54.96157451159711,43.91257841911861
10214-3702,0.47501542338005687,153.06112402368606,0.0336851,10098.5389269758,-63.98811950658972,107.5385425512667,88.14017310712521
10214-3703,1.1716465702949788,406.69642116921045,0.0862614,25860.5171365212,-178.55781260292073,275.782589750062,239.71451716792842
10214-3704,0.8648664153499315,290.46153046653683,0.0626168,18772.0443840944,-132.67086287851527,199.24866062570567,164.51843076961154
10214-6101,0.249580423729841,78.5383088668636,0.0174922,5244.029633827599,-35.02991523170894,53.814134480532935,45.223997265138635
10214-6102,0.7395966507201006,245.09170350655359,0.0531879,15945.3312768582,-109.4320282557697,169.53819747137518,139.1092157900755
10214-6103,0.2521184875438151,79.35806814844604,0.017672399999999998,5298.0522347592,-33.38295137431677,55.811763974265965,45.478880151936856
10214-6104,0.33529518485364274,106.46330922840096,0.0236042,7076.361137123599,-46.85659559786839,71.89923522769992,63.00313987819828
10214-9101,0.473437168613845,152.5271817863228,0.0335704,10064.1527320432,-63.95927984987912,106.71852325242043,88.23212849968776
10214-9102,1.9114634104869184,719.6763315596571,0.146782,44004.136570156,-312.74443038618,501.6174534214705,410.49345170483315
10215-12701,1.0106050466586936,344.7543569656437,0.07374960000000001,22109.5738605168,-142.65925616932842,230.0791795283279,213.46539397190324
10215-12702,0.6164721946094783,201.63524609477057,0.044043700000000005,13203.9690824146,-83.4868127607226,136.418664239331,122.78710278327851
10215-12703,0.3113923495041559,98.62599863182201,0.021894299999999995,6563.746013189399,-41.56656122077641,66.18413495049307,60.15786627913699
10215-12704,0.43252028699532974,138.74539363096804,0.030603400000000003,9174.6685091572,-61.03509625023104,92.39389735381806,83.59646530391957
10215-12705,1.0110465839146912,344.92136102638585,0.0737836,22119.7668040888,-151.09514926920627,232.80418530651627,204.8004210527408
10215-1901,0.3019162571176383,95.52970300035727,0.0212176,6360.876456860799,-39.940085943651304,63.62504908296915,59.0132766361942
10215-1902,0.557827561999583,181.32429038637517,0.0397304,11910.8742733232,-80.31601721731091,119.71511618605012,109.982392313641
10215-3701,0.3178369713650182,100.73524813588772,0.0223549,6701.8304193442,-42.15737896632582,67.36113577220165,61.90979731163293
10215-3702,0.4756152839578473,153.26410982838655,0.0337287,10111.6098781446,-63.247687246671134,103.73799894349644,93.42400652206123
10215-3703,0.45148917504555786,145.12001841232222,0.0319773,9586.5533672034,-61.0971950534832,96.634066470777,89.38014151874465
10215-3704,0.72452825821025,239.71345854833885,0.052062300000000006,15607.8848861334,-101.98831487129132,162.49820488908017,143.7193767268249
10215-6101,1.149476442007255,398.045077894919,0.0845256,25340.1373879248,-175.37933748773614,267.46290598187255,236.9505559024221
10215-6102,0.3046422729674727,96.41979987348435,0.0214122,6419.2160691876,-41.73333312851077,64.92127903038148,57.795624771143956
10215-6103,0.5712507531625404,185.95146767909245,0.0407153,12206.1398652074,-77.98849251261551,123.25487389317568,115.34287766999591
10215-6104,0.9415278306294792,318.8152696020244,0.0684507,20521.0036048206,-138.1526283060826,207.559057664951,198.6863483100196
10215-9101,0.5748564468681449,187.19660401928294,0.0409801,12285.5249080858,-77.58656746673468,126.30669396988583,114.32196710816189
10215-9102,0.5810052687427439,189.3220979002674,0.0414319,12420.9711406102,-81.01159839613567,127.69974007175136,113.89799850861648
10216-12701,0.6450840446623266,211.63481078097863,0.0461579,13837.7902971182,-96.52118556047637,177.9457047648881,61.711263380585564
10216-12702,0.409067285994804,130.8984715629655,0.0289085,8666.550272093,-59.206032315880805,110.27952801627269,38.30771848387082
10216-12703,0.575940063580524,187.57098623557707,0.0410597,12309.3883877426,-85.59959869948862,156.85354472843355,57.031123836014764
10216-12704,0.6285639290431497,205.85394101718643,0.0449364,13471.5938096712,-92.23186292581117,172.28380136403618,64.71027956282501
10216-12705,0.3124756167459718,98.98034215597953,0.0219717,6586.9499494386,-44.37225177225514,83.82481712354897,28.312743423729742
10216-1901,0.6466648757444976,212.18903028838463,0.0462749,13872.8660147042,-91.43569175535386,179.15656751530028,67.5767945679623
10216-1902,0.6324331834666372,207.20612747126322,0.0452223,13557.3044734134,-88.6817144417518,175.8093527566318,64.50584677843693
10216-3701,0.6459028674516905,211.92185703912796,0.0462185,13855.957720073,-92.10472848179622,179.3170764621953,65.36802407338305
